,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-250000.0,2021-12-15 23:59:18.204013,2021-12-16 00:00:34.649099,0 days 00:01:16.445086,tanh,512,0.3,0.00018830397154125244,0.8,0.98,0.0010093535153723608,1.0,1,2048,small,0.4859235274664301,COMPLETE
1,1,-296.0,2021-12-16 00:00:34.666998,2021-12-16 00:03:03.878750,0 days 00:02:29.211752,relu,32,0.2,9.091272989606487e-06,0.95,0.9,0.0022055964507550966,0.7,1,8,medium,0.19803488296939276,COMPLETE
2,2,-1344.0,2021-12-16 00:03:03.891965,2021-12-16 00:23:29.485443,0 days 00:20:25.593478,tanh,16,0.2,0.004243273807911173,0.95,0.9999,0.00023371062377755105,0.8,20,1024,medium,0.06756077724070353,COMPLETE
3,3,-942.0,2021-12-16 00:23:29.498901,2021-12-16 00:25:33.198090,0 days 00:02:03.699189,relu,64,0.4,6.1808029374013896e-06,0.95,0.9999,0.0058601965688220466,0.3,10,512,small,0.06337285976510665,COMPLETE
4,4,-250000.0,2021-12-16 00:25:33.211397,2021-12-16 00:28:34.663347,0 days 00:03:01.451950,relu,8,0.4,1.994606793570207e-06,0.99,0.9999,0.0008581010801444581,0.8,1,16,medium,0.3884026080268729,COMPLETE
5,5,-1000.0,2021-12-16 00:28:34.676580,2021-12-16 00:45:46.491959,0 days 00:17:11.815379,tanh,8,0.4,0.06475996540969979,0.98,0.98,0.031935019645421364,2.0,10,256,medium,0.012833827938311337,COMPLETE
6,6,-249794.0,2021-12-16 00:45:46.505397,2021-12-16 00:49:07.273152,0 days 00:03:20.767755,tanh,32,0.2,0.0002002715205749489,0.98,0.95,2.2022376826572794e-05,0.6,10,512,small,0.2783765880662499,COMPLETE
7,7,-484.0,2021-12-16 00:49:07.286248,2021-12-16 00:53:07.956938,0 days 00:04:00.670690,tanh,512,0.1,3.725915416576882e-05,0.9,0.995,0.25491081475546057,0.6,10,128,medium,0.8851059542776041,COMPLETE
8,8,-200288.0,2021-12-16 00:53:07.971856,2021-12-16 01:00:12.492138,0 days 00:07:04.520282,tanh,512,0.3,2.424812052695426e-07,0.98,0.999,2.2349714820276578e-05,0.6,20,2048,medium,0.6672642241247859,COMPLETE
9,9,-1232.0,2021-12-16 01:00:12.505492,2021-12-16 01:33:23.106083,0 days 00:33:10.600591,tanh,64,0.2,5.3104457857730664e-05,0.95,0.995,0.015630371399156476,0.8,20,8,medium,0.45383583308857933,COMPLETE
10,10,-556.0,2021-12-16 01:33:23.120132,2021-12-16 01:37:30.671993,0 days 00:04:07.551861,relu,32,0.1,1.06437953529245e-08,0.92,0.9,0.7231252932987735,0.7,5,8,small,0.2423097159909141,COMPLETE
11,11,254.0,2021-12-16 01:37:30.685234,2021-12-16 01:38:36.452196,0 days 00:01:05.766962,relu,128,0.1,6.872550603720529e-07,0.9,0.9,0.2433513935138755,5.0,1,128,medium,0.9949823029315671,COMPLETE
12,12,-1196.0,2021-12-16 01:38:36.465547,2021-12-16 01:39:43.912199,0 days 00:01:07.446652,relu,128,0.1,2.321348902697831e-07,1.0,0.9,0.08614762369257935,5.0,1,128,medium,0.9483985422477097,COMPLETE
13,13,-250000.0,2021-12-16 01:39:43.925658,2021-12-16 01:40:15.001970,0 days 00:00:31.076312,relu,256,0.1,7.026035472755686e-07,0.9,0.99,0.0001840053864935879,5.0,1,64,medium,0.7434851302724614,PRUNED
14,14,-245258.0,2021-12-16 01:40:15.006226,2021-12-16 01:40:49.215890,0 days 00:00:34.209664,relu,128,0.2,3.087185118902774e-08,0.9,0.9,0.002874399563632283,0.5,1,32,medium,0.6195671856756253,PRUNED
15,15,-1416.0,2021-12-16 01:40:49.220319,2021-12-16 01:42:00.744994,0 days 00:01:11.524675,relu,32,0.1,6.138867711759784e-06,0.99,0.9,0.08019972060212052,0.9,5,128,medium,0.2237391684942675,PRUNED
16,16,-410.0,2021-12-16 01:42:00.749706,2021-12-16 01:44:28.795417,0 days 00:02:28.045711,relu,128,0.2,0.0007124258968921709,0.8,0.9,0.9084577534643733,0.7,1,8,medium,0.8418607879167677,COMPLETE
17,17,-250000.0,2021-12-16 01:44:28.808613,2021-12-16 01:44:57.368049,0 days 00:00:28.559436,relu,256,0.3,6.976569824581646e-08,1.0,0.95,0.008217322609314601,0.7,1,256,medium,0.9976053164272766,PRUNED
18,18,-100826.0,2021-12-16 01:44:57.372374,2021-12-16 01:45:18.921374,0 days 00:00:21.549000,relu,16,0.2,3.817614145245668e-06,0.92,0.99,0.00014067934378058367,5.0,1,1024,small,0.6003073724527218,PRUNED
19,19,-98110.0,2021-12-16 01:45:18.925861,2021-12-16 01:47:02.903610,0 days 00:01:43.977749,relu,128,0.1,9.930135958346349e-07,0.95,0.999,0.0016813684685623655,1.0,5,16,medium,0.3238353818801525,PRUNED
20,20,-660.0,2021-12-16 01:47:02.908170,2021-12-16 01:48:25.067397,0 days 00:01:22.159227,relu,32,0.2,1.9041507725426016e-05,0.9,0.9,0.044525642906150874,2.0,1,32,medium,0.1729041335179522,COMPLETE
21,21,-1066.0,2021-12-16 01:48:25.080628,2021-12-16 01:50:52.718047,0 days 00:02:27.637419,relu,128,0.2,0.0016203244057579175,0.8,0.9,0.9733725772628674,0.7,1,8,medium,0.8401252846598923,COMPLETE
