,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,-154.0,2021-12-11 17:07:05.072294,2021-12-11 17:08:44.402607,0 days 00:01:39.330313,512,0.4,0.011416267568564899,0.9,0.98,0.0011629440447121465,5.0,5,64,0.6026637104104905,COMPLETE
1,1,-888.0,2021-12-11 17:08:44.440506,2021-12-11 17:16:01.496476,0 days 00:07:17.055970,16,0.3,6.710784111655471e-08,0.98,0.99,0.001098182778908555,1.0,20,16,0.8988844371582446,COMPLETE
2,2,-194826.0,2021-12-11 17:16:01.529388,2021-12-11 17:18:15.267666,0 days 00:02:13.738278,256,0.2,4.467648618336884e-07,0.8,0.9,3.1838966010165166e-05,0.9,20,128,0.7428346363500786,COMPLETE
3,3,-28.0,2021-12-11 17:18:15.299581,2021-12-11 17:32:05.848043,0 days 00:13:50.548462,64,0.3,0.05370836799468796,0.98,0.99,0.022520172344676376,0.9,20,8,0.4278255386508576,COMPLETE
4,4,-1152.0,2021-12-11 17:32:05.895915,2021-12-11 17:39:34.991681,0 days 00:07:29.095766,512,0.2,0.0612712957774704,0.8,0.9,0.014488053742014758,0.3,10,8,0.6040756351010379,COMPLETE
5,5,-286.0,2021-12-11 17:39:35.038556,2021-12-11 17:41:26.584195,0 days 00:01:51.545639,256,0.1,0.09241747978154609,1.0,0.95,0.030149890893151437,0.8,20,256,0.6197824823558442,COMPLETE
6,6,-250000.0,2021-12-11 17:41:26.617107,2021-12-11 17:42:25.375940,0 days 00:00:58.758833,16,0.1,0.08117919606832284,1.0,0.995,0.0002407062360795751,5.0,5,2048,0.4592839262401267,PRUNED
7,7,-690.0,2021-12-11 17:42:25.390900,2021-12-11 17:46:32.970678,0 days 00:04:07.579778,8,0.2,1.3739612200620106e-08,0.8,0.9999,0.19953703040438917,0.8,5,64,0.6345027186895068,COMPLETE
8,8,-1144.0,2021-12-11 17:46:33.001595,2021-12-11 17:47:09.151901,0 days 00:00:36.150306,16,0.1,0.00013835091101819963,0.99,0.99,0.1773378444979373,0.5,1,64,0.30061538912448027,PRUNED
9,9,1744.0,2021-12-11 17:47:09.167858,2021-12-11 17:49:20.686075,0 days 00:02:11.518217,128,0.4,1.992566725293565e-05,0.98,0.9,0.005414873093748744,0.9,20,256,0.3900021887374706,COMPLETE
