,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,0,-1840.0,2021-12-13 12:19:25.254945,2021-12-13 12:20:44.049188,0 days 00:01:18.794243,128,0.1,0.0005275603700272218,0.95,0.999,0.006222066899493698,1.0,1,256,0.24707645911698717,COMPLETE
1,1,-1840.0,2021-12-13 12:20:44.086090,2021-12-13 12:22:29.289692,0 days 00:01:45.203602,32,0.4,0.0007152304684011423,0.99,0.95,0.00022643222890668814,0.3,1,32,0.05808457260175126,COMPLETE
2,2,-250000.0,2021-12-13 12:22:29.318615,2021-12-13 12:39:31.917384,0 days 00:17:02.598769,32,0.1,1.676130668254789e-07,0.9,0.98,0.011940106561882184,2.0,20,2048,0.2875532231104967,COMPLETE
3,3,-1840.0,2021-12-13 12:39:31.948301,2021-12-13 12:53:36.024579,0 days 00:14:04.076278,8,0.3,9.956075004629873e-06,0.92,0.9,1.6811174129121955e-05,5.0,5,512,0.3827305268866611,COMPLETE
4,4,-250000.0,2021-12-13 12:53:36.055497,2021-12-13 12:57:16.303381,0 days 00:03:40.247884,8,0.2,3.56280394718356e-07,0.92,0.95,1.4776287116891601e-05,0.5,1,64,0.24343138816108,COMPLETE
5,5,-250000.0,2021-12-13 12:57:16.346266,2021-12-13 13:01:12.006925,0 days 00:03:55.660659,512,0.4,1.724110686100962e-05,0.92,0.9999,0.4893998877694593,5.0,20,256,0.6449854190994956,PRUNED
6,6,-1840.0,2021-12-13 13:01:12.020888,2021-12-13 13:05:46.825844,0 days 00:04:34.804956,128,0.1,6.096783241446618e-06,0.92,0.9999,0.008149864712666407,0.6,5,32,0.9539264406442098,COMPLETE
7,7,-1850.0,2021-12-13 13:05:46.871721,2021-12-13 13:13:32.695743,0 days 00:07:45.824022,512,0.4,0.0002885171260461847,0.92,0.9999,0.020486596258470685,1.0,5,16,0.4430597866776508,PRUNED
8,8,-250000.0,2021-12-13 13:13:32.708708,2021-12-13 13:16:06.953137,0 days 00:02:34.244429,128,0.3,4.916206739627873e-07,0.99,0.999,2.13607302763854e-05,0.3,20,512,0.5958974812257735,PRUNED
9,9,-250000.0,2021-12-13 13:16:06.966103,2021-12-13 13:18:21.027518,0 days 00:02:14.061415,32,0.4,0.008072939629207387,1.0,0.995,0.023267147402172096,0.9,5,256,0.48519166072314657,PRUNED
10,10,-266.0,2021-12-13 13:18:21.041480,2021-12-13 13:23:18.886808,0 days 00:04:57.845328,64,0.1,0.045925576131152945,0.95,0.999,0.0006518204890976649,1.0,10,1024,0.054120713674576826,COMPLETE
11,11,-198334.0,2021-12-13 13:23:18.918723,2021-12-13 13:25:30.720182,0 days 00:02:11.801459,64,0.1,0.09524935876574885,0.95,0.999,0.0007112334183193905,1.0,10,1024,0.02919895398052358,PRUNED
12,12,-1840.0,2021-12-13 13:25:30.737137,2021-12-13 13:30:22.627394,0 days 00:04:51.890257,64,0.1,0.07667248622688186,0.95,0.999,0.0008611752978119333,1.0,10,128,0.16226772322015712,COMPLETE
13,13,-250000.0,2021-12-13 13:30:22.655319,2021-12-13 13:30:58.145391,0 days 00:00:35.490072,256,0.1,0.0018723632952633192,0.8,0.99,0.15717547836893814,0.7,1,1024,0.14286931676593476,PRUNED
14,14,-1850.0,2021-12-13 13:30:58.165337,2021-12-13 13:58:21.772045,0 days 00:27:23.606708,16,0.2,0.006807719941142119,0.98,0.999,0.00011448519730246271,0.8,10,8,0.009218408114462208,COMPLETE
15,15,-250000.0,2021-12-13 13:58:21.814930,2021-12-13 13:59:04.866776,0 days 00:00:43.051846,64,0.1,1.404374353649736e-08,0.95,0.999,0.0017617958120955551,1.0,1,256,0.3015910174672756,PRUNED
16,16,-1850.0,2021-12-13 13:59:04.881736,2021-12-13 14:02:13.064387,0 days 00:03:08.182651,128,0.1,0.00010364347188170902,0.95,0.9,0.08300286442818901,1.0,10,1024,0.1799815256179959,PRUNED
17,17,-250000.0,2021-12-13 14:02:13.078351,2021-12-13 14:02:56.603928,0 days 00:00:43.525577,256,0.1,0.01110093600258632,0.95,0.995,0.0038271705745337296,0.8,1,64,0.764883253966143,PRUNED
18,18,-1860.0,2021-12-13 14:02:56.617891,2021-12-13 14:15:53.833009,0 days 00:12:57.215118,16,0.3,9.566990530934792e-05,0.9,0.98,0.0002722348793000009,2.0,10,8,0.34400152191386735,PRUNED
19,19,-248970.0,2021-12-13 14:15:53.845974,2021-12-13 14:16:30.384242,0 days 00:00:36.538268,128,0.2,0.001915041949110983,1.0,0.999,8.34179302695875e-05,0.9,1,2048,0.10338073972471998,PRUNED
20,20,-1860.0,2021-12-13 14:16:30.398205,2021-12-13 14:23:32.923042,0 days 00:07:02.524837,64,0.1,0.013867930623182713,0.98,0.99,0.0027809937361926167,0.5,10,16,0.19501593491833713,PRUNED
21,21,-1840.0,2021-12-13 14:23:32.939997,2021-12-13 14:26:27.760390,0 days 00:02:54.820393,64,0.1,0.07677185596315843,0.8,0.9999,0.0006860052661081231,0.6,5,128,0.9541228454369596,COMPLETE
22,22,-1840.0,2021-12-13 14:26:27.789312,2021-12-13 14:31:20.212145,0 days 00:04:52.422833,64,0.1,3.41527900558061e-06,0.95,0.9999,0.0008530048463996772,0.6,10,128,0.9750575776489525,COMPLETE
23,23,-1850.0,2021-12-13 14:31:20.240070,2021-12-13 14:36:15.960083,0 days 00:04:55.720013,64,0.1,0.05691246768461394,0.95,0.999,0.001887005067758204,1.0,10,128,0.14574919030429748,COMPLETE
24,24,-1840.0,2021-12-13 14:36:15.990003,2021-12-13 14:38:00.607174,0 days 00:01:44.617171,32,0.4,0.0011236414765898547,0.99,0.95,0.00020580356702090742,0.3,1,32,0.06745209570568994,COMPLETE
25,25,-1840.0,2021-12-13 14:38:00.636097,2021-12-13 14:43:02.609384,0 days 00:05:01.973287,64,0.1,3.1996739041259926e-06,0.95,0.9999,0.00574014305569608,0.6,10,1024,0.8740666523686212,COMPLETE
