,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-1850.0,2021-12-19 21:44:43.600328,2021-12-19 21:48:35.488102,0 days 00:03:51.887774,tanh,16,0.4,1.1302130028675169e-05,0.92,0.999,0.0022229146857574815,0.7,5,16,medium,0.13547910932144303,COMPLETE
1,1,-247528.0,2021-12-19 21:48:35.535974,2021-12-19 21:49:07.035722,0 days 00:00:31.499748,relu,128,0.2,0.007104848378316764,1.0,0.995,0.00010188461327581182,1.0,1,256,small,0.975931736318339,COMPLETE
2,2,-1840.0,2021-12-19 21:49:07.065642,2021-12-19 21:50:30.823616,0 days 00:01:23.757974,relu,16,0.4,0.0032911216337583814,0.99,0.98,0.0067726025403530956,2.0,1,2048,medium,0.02647380480017425,COMPLETE
3,3,-250000.0,2021-12-19 21:50:30.866502,2021-12-19 21:57:43.437512,0 days 00:07:12.571010,relu,8,0.4,1.4219623678204026e-05,0.99,0.95,5.337834033163813e-05,0.3,5,64,medium,0.12348009365955137,COMPLETE
4,4,-1850.0,2021-12-19 21:57:43.468430,2021-12-19 21:59:59.155510,0 days 00:02:15.687080,relu,512,0.1,6.918935278321837e-05,0.92,0.9999,0.11316256983539186,0.3,5,32,medium,0.5004460342370499,COMPLETE
5,5,-250000.0,2021-12-19 21:59:59.186427,2021-12-19 22:00:12.948617,0 days 00:00:13.762190,tanh,128,0.4,7.130663770316992e-08,0.99,0.98,1.4496908791265137e-05,0.5,1,512,small,0.25506254331257605,PRUNED
6,6,-1850.0,2021-12-19 22:00:12.962581,2021-12-19 22:02:14.998174,0 days 00:02:02.035593,relu,8,0.1,2.0303039444897733e-06,0.92,0.95,0.7982707865395419,5.0,1,1024,medium,0.8428356223275574,COMPLETE
7,7,-250000.0,2021-12-19 22:02:15.031086,2021-12-19 22:06:44.561179,0 days 00:04:29.530093,tanh,8,0.2,0.0008569526454706049,0.99,0.995,0.4806806298687113,5.0,20,16,small,0.43958005077200657,PRUNED
8,8,-1840.0,2021-12-19 22:06:44.576139,2021-12-19 22:08:34.556976,0 days 00:01:49.980837,relu,32,0.3,0.00028027294826128853,0.98,0.99,0.02117102020583097,0.9,10,256,small,0.7024332739863571,COMPLETE
9,9,-250000.0,2021-12-19 22:08:34.609834,2021-12-19 22:09:13.730200,0 days 00:00:39.120366,relu,32,0.3,4.1517911495838605e-08,1.0,0.9999,0.9128713910713061,0.8,5,2048,medium,0.64747439181599,PRUNED
10,10,130.0,2021-12-19 22:09:13.744162,2021-12-19 22:23:52.427963,0 days 00:14:38.683801,relu,16,0.4,0.08269378587390669,0.9,0.98,0.0015911140692396904,2.0,20,128,medium,0.0237096084274904,COMPLETE
11,11,130.0,2021-12-19 22:23:52.471846,2021-12-19 22:38:26.197907,0 days 00:14:33.726061,relu,16,0.4,0.08716243595072481,0.9,0.98,0.0015151354605490211,2.0,20,128,medium,0.04385948768610639,COMPLETE
12,12,-250000.0,2021-12-19 22:38:26.242788,2021-12-19 22:44:04.218809,0 days 00:05:37.976021,relu,16,0.4,0.030616373791478475,0.9,0.98,0.0007509129838616233,2.0,20,128,medium,0.2914086260061397,PRUNED
13,13,130.0,2021-12-19 22:44:04.233770,2021-12-19 22:46:43.403043,0 days 00:02:39.169273,relu,256,0.4,0.06850349594858202,0.9,0.9,0.0008941723306390628,2.0,20,128,medium,0.0027274915598842833,COMPLETE
14,14,-250000.0,2021-12-19 22:46:43.446926,2021-12-19 22:48:26.709730,0 days 00:01:43.262804,relu,64,0.4,0.059060574836586645,0.8,0.98,0.0002331384323675116,0.6,20,128,medium,0.2881607258151496,PRUNED
15,15,-1860.0,2021-12-19 22:48:26.722696,2021-12-19 22:59:34.712038,0 days 00:11:07.989342,tanh,16,0.4,0.006398117817867394,0.9,0.98,0.021512492261788696,2.0,20,8,medium,0.15654998420814473,PRUNED
